gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,NumServices,AvgMonthlySpend,ChurnProbability,Actual_Churn,RiskCategory
0,0,1,0,1,0,2,0,0,1,0,0,0,0,0,1,2,29.85,29.85,1,14.925,0.8193719600541519,0,High Risk
1,0,0,0,34,1,0,0,1,0,1,0,0,0,1,0,3,56.95,1889.5,3,53.98571428571429,0.10388692703739313,0,Low Risk
1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,1,3,53.85,108.15,3,36.050000000000004,0.6038724656387738,1,High Risk
1,0,0,0,45,0,2,0,1,0,1,1,0,0,1,0,0,42.3,1840.75,3,40.016304347826086,0.07268750012109333,0,Low Risk
0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.7,151.65,1,50.550000000000004,0.8707112419532391,1,High Risk
0,0,0,0,8,1,1,1,0,0,1,0,1,1,0,1,2,99.65,820.5,4,91.16666666666667,0.8900238889729498,1,High Risk
1,0,0,1,22,1,1,1,0,1,0,0,1,0,0,1,1,89.1,1949.4,3,84.75652173913043,0.6866843358339927,0,High Risk
0,0,0,0,10,0,2,0,1,0,0,0,0,0,0,0,3,29.75,301.9,1,27.44545454545454,0.5051483028923236,0,Medium Risk
0,0,1,0,28,1,1,1,0,0,1,1,1,1,0,1,2,104.8,3046.05,5,105.03620689655173,0.7657322808003183,1,High Risk
1,0,0,1,62,1,0,0,1,1,0,0,0,0,1,0,0,56.15,3487.95,3,55.364285714285714,0.025249596242107396,0,Low Risk
1,0,1,1,13,1,0,0,1,0,0,0,0,0,0,1,3,49.95,587.45,2,41.96071428571429,0.42657267774601987,0,Medium Risk
1,0,0,0,16,1,0,2,0,0,0,0,0,0,2,0,1,18.95,326.8,1,19.223529411764705,0.04360010838388134,0,Low Risk
1,0,1,0,58,1,1,1,0,0,1,0,1,1,1,0,1,100.35,5681.1,4,96.28983050847458,0.47562170610648913,0,Medium Risk
1,0,0,0,49,1,1,1,0,1,1,0,1,1,0,1,0,103.7,5036.3,5,100.726,0.7159034529846959,1,High Risk
1,0,0,0,25,1,0,1,1,0,1,1,1,1,0,1,2,105.5,2686.05,6,103.3096153846154,0.6165952979926792,0,High Risk
0,0,1,1,69,1,1,1,1,1,1,1,1,1,2,0,1,113.25,7895.15,7,112.78785714285713,0.08022181436155408,0,Low Risk
0,0,0,0,52,1,0,2,0,0,0,0,0,0,1,0,3,20.65,1022.95,1,19.300943396226415,0.04251312085411671,0,Low Risk
1,0,0,1,71,1,1,1,1,0,1,0,1,1,2,0,0,106.7,7382.25,5,102.53125,0.1275670234371429,0,Low Risk
0,0,1,1,10,1,0,0,0,0,1,1,0,0,0,0,1,55.2,528.35,3,48.03181818181818,0.28026492047978385,1,Low Risk
0,0,0,0,21,1,0,1,0,1,1,0,0,1,0,1,2,90.05,1862.9,4,84.67727272727274,0.7127863129131763,0,High Risk
1,1,0,0,1,0,2,0,0,0,1,0,0,1,0,1,2,39.65,39.65,2,19.825,0.8969731753758702,1,High Risk
1,0,1,0,12,1,0,2,0,0,0,0,0,0,1,0,0,19.8,202.25,1,15.557692307692308,0.13518193232766448,0,Low Risk
1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,20.15,20.15,1,10.075,0.4670135732768897,1,Medium Risk
0,0,1,0,58,1,1,0,0,1,0,1,0,0,2,1,1,59.9,3505.1,3,59.40847457627118,0.04236168148856934,0,Low Risk
1,0,1,1,49,1,0,0,1,1,0,1,0,0,0,0,1,59.6,2970.3,4,59.406000000000006,0.06271568485879718,0,Low Risk
0,0,0,0,30,1,0,0,1,1,0,0,0,0,0,1,0,55.3,1530.6,3,49.37419354838709,0.2594173725112322,0,Low Risk
1,0,1,1,47,1,1,1,0,1,0,0,1,1,0,1,2,99.35,4749.15,4,98.940625,0.7053216037799246,1,High Risk
1,0,1,1,1,0,2,0,0,1,0,0,0,0,0,0,2,30.2,30.2,1,15.1,0.6788873568170088,1,High Risk
1,0,1,0,72,1,1,0,1,1,1,1,1,1,2,1,1,90.25,6369.45,7,87.2527397260274,0.05948753752960351,0,Low Risk
0,0,0,1,17,1,0,0,0,0,0,0,1,1,0,1,3,64.7,1093.1,3,60.727777777777774,0.6004976686942559,1,High Risk
0,1,1,0,71,1,1,1,1,1,1,1,0,0,2,1,1,96.35,6766.95,5,93.98541666666667,0.08616710141540172,0,Low Risk
1,1,1,0,2,1,0,1,0,0,1,0,1,1,0,1,1,95.5,181.65,4,60.550000000000004,0.9567545231178353,0,High Risk
0,0,1,1,27,1,0,0,1,1,1,1,0,0,1,0,3,66.15,1874.45,5,66.94464285714285,0.049210542031972976,0,Low Risk
1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,20.2,20.2,1,10.1,0.4025677832864367,0,Medium Risk
1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,45.25,45.25,1,22.625,0.6726904643876659,0,High Risk
0,0,1,1,72,1,1,1,1,1,0,1,1,0,2,0,0,99.9,7251.7,5,99.33835616438355,0.04850698651041244,0,Low Risk
1,0,0,0,5,1,0,1,0,0,0,0,0,0,0,1,2,69.7,316.9,1,52.81666666666666,0.8397192450703781,1,High Risk
0,0,0,0,46,1,0,1,0,0,1,0,0,0,0,1,1,74.8,3548.3,2,75.49574468085106,0.48392596716506153,0,Medium Risk
1,0,0,0,34,1,1,1,0,1,1,0,1,1,0,1,2,106.35,3549.25,5,101.40714285714286,0.8094991191017548,1,High Risk
0,0,0,0,11,1,1,1,0,0,1,0,1,1,0,1,0,97.85,1105.4,4,92.11666666666667,0.8458408001082239,1,High Risk
1,0,1,1,10,1,0,0,0,1,0,0,0,0,1,0,3,49.55,475.7,2,43.24545454545454,0.19051576689993746,0,Low Risk
0,0,1,1,70,1,1,0,1,1,0,0,1,0,2,1,1,69.2,4872.35,4,68.62464788732395,0.03454956642047673,0,Low Risk
0,0,1,1,17,1,0,2,0,0,0,0,0,0,1,0,3,20.75,418.25,1,23.23611111111111,0.08910788286899435,0,Low Risk
0,0,0,0,63,1,1,0,1,1,1,1,1,0,2,1,1,79.85,4861.45,6,75.96015625,0.04007710940874662,0,Low Risk
0,0,1,0,13,1,1,0,1,1,0,1,1,0,0,1,2,76.2,981.45,5,70.10357142857143,0.48250991061689663,0,Medium Risk
0,0,0,0,49,1,1,1,0,0,0,0,0,1,0,1,2,84.5,3906.7,2,78.134,0.7467225905830249,0,High Risk
1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,3,49.25,97.0,2,32.333333333333336,0.5900850063512099,0,Medium Risk
0,0,0,0,2,1,0,1,0,0,0,0,1,0,0,1,2,80.65,144.15,2,48.050000000000004,0.9377114047938474,1,High Risk
1,0,0,0,52,1,1,0,1,0,0,1,1,1,2,1,1,79.75,4217.8,5,79.5811320754717,0.08074019753288399,0,Low Risk
0,0,1,1,69,1,1,0,1,0,1,1,0,0,2,1,1,64.15,4254.1,4,60.77285714285715,0.02067093132624191,0,Low Risk
0,1,0,0,43,1,1,1,0,1,0,0,1,0,0,1,2,90.25,3838.75,3,87.24431818181819,0.7168346575544665,0,High Risk
0,0,0,0,15,1,0,1,1,1,0,0,1,1,0,1,1,99.1,1426.4,5,89.15,0.739652897956169,1,High Risk
0,1,1,0,25,1,1,0,1,0,0,1,1,0,0,1,1,69.5,1752.65,4,67.40961538461539,0.41744108504345356,0,Medium Risk
0,1,1,0,8,1,1,1,0,1,0,0,0,0,0,1,1,80.65,633.3,2,70.36666666666666,0.8216427947334444,1,High Risk
0,1,1,1,60,1,0,0,1,1,1,1,0,1,1,1,1,74.85,4456.35,6,73.05491803278689,0.05700781220117492,0,Low Risk
1,1,0,0,18,1,1,1,0,0,0,0,1,1,0,1,2,95.45,1752.55,3,92.23947368421052,0.8710702427316944,1,High Risk
0,0,1,1,63,1,1,1,1,0,0,0,1,1,1,1,1,99.65,6311.2,4,98.6125,0.3862437642666838,0,Medium Risk
1,1,1,1,66,1,1,1,0,1,1,1,1,1,1,1,2,108.45,7076.35,6,105.61716417910448,0.3782807363203012,0,Medium Risk
0,0,1,1,34,1,1,2,0,0,0,0,0,0,2,0,1,24.95,894.3,1,25.55142857142857,0.028778775937806405,0,Low Risk
0,0,0,0,72,1,1,1,0,0,1,1,1,1,2,1,1,107.5,7853.7,5,107.58493150684932,0.24560855487140792,0,Low Risk
0,0,1,0,47,1,1,1,0,0,1,0,1,1,0,1,2,100.5,4707.1,4,98.06458333333335,0.8081625921600073,0,High Risk
1,0,0,0,60,1,1,1,0,1,0,0,1,0,0,1,0,89.9,5450.7,3,89.35573770491803,0.5791959741863438,0,Medium Risk
1,0,1,0,72,0,2,0,1,1,1,0,0,0,2,0,0,42.1,2962.0,3,40.57534246575342,0.01854355589267682,0,Low Risk
0,0,1,1,18,1,0,0,0,0,1,1,0,0,1,1,1,54.4,957.1,3,50.373684210526314,0.14953121558756943,0,Low Risk
0,0,0,0,9,1,1,1,0,0,0,0,1,1,0,0,2,94.4,857.25,3,85.725,0.8479504406921813,1,High Risk
0,0,0,0,3,1,0,0,0,1,0,1,1,1,0,1,2,75.3,244.1,5,61.025,0.6882046804925512,0,High Risk
1,0,1,0,47,1,1,1,0,1,0,0,0,0,1,1,2,78.9,3650.35,2,76.04895833333333,0.3895739142398995,0,Medium Risk
0,0,0,0,31,1,0,0,0,1,1,1,1,1,2,0,3,79.2,2497.2,6,78.0375,0.07091654575389504,0,Low Risk
0,0,1,1,50,1,0,2,0,0,0,0,0,0,2,0,0,20.15,930.9,1,18.25294117647059,0.011627348303496318,0,Low Risk
1,0,0,0,10,1,0,1,1,0,1,0,0,0,0,1,3,79.85,887.35,3,80.66818181818182,0.5907026000902732,0,Medium Risk
1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,49.05,49.05,2,24.525,0.6351597152327013,0,High Risk
0,0,1,1,52,1,0,2,0,0,0,0,0,0,1,1,2,20.4,1090.65,1,20.578301886792456,0.045414207505722025,0,Low Risk
1,1,1,1,64,1,1,1,1,0,1,1,1,1,2,1,0,111.6,7099.0,6,109.21538461538462,0.16659911940206018,0,Low Risk
1,0,1,1,62,1,1,2,0,0,0,0,0,0,2,1,0,24.25,1424.6,1,22.61269841269841,0.017595411083005684,0,Low Risk
0,0,0,1,3,1,0,0,1,0,0,1,0,1,0,1,0,64.5,177.4,4,44.35,0.5210142358486068,0,Medium Risk
0,1,0,0,56,1,1,1,1,1,1,0,1,1,1,0,2,110.5,6139.5,6,107.71052631578948,0.369789587151109,0,Medium Risk
0,0,0,0,46,1,0,0,0,0,0,0,0,1,1,0,1,55.65,2688.85,2,57.2095744680851,0.12299168148711107,0,Low Risk
0,0,1,1,8,1,0,0,1,1,0,0,0,0,0,0,3,54.65,482.25,3,53.583333333333336,0.24289833346635567,0,Low Risk
1,1,0,0,30,1,0,0,1,1,0,0,1,1,0,1,2,74.75,2111.3,5,68.10645161290323,0.4828833342206994,0,Medium Risk
0,0,1,1,45,1,1,2,0,0,0,0,0,0,1,1,1,25.9,1216.6,1,26.44782608695652,0.07651710330071937,0,Low Risk
0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,2,79.35,79.35,2,39.675,0.9369108081566823,1,High Risk
0,0,1,1,11,0,2,0,1,0,0,0,1,1,0,0,2,50.55,565.35,3,47.112500000000004,0.5884662139814036,0,Medium Risk
0,0,1,0,7,1,0,1,0,0,1,0,0,0,0,1,0,75.15,496.9,2,62.1125,0.7800558463451415,1,High Risk
0,0,0,0,42,1,0,1,0,1,1,1,1,1,0,1,0,103.8,4327.5,6,100.63953488372093,0.5671416991393983,0,Medium Risk
0,0,1,0,49,1,0,2,0,0,0,0,0,0,2,1,0,20.15,973.35,1,19.467,0.02480160746966157,0,Low Risk
1,0,0,0,9,1,1,1,0,1,0,0,1,1,0,1,1,99.3,918.75,4,91.875,0.8580898942312308,0,High Risk
0,0,1,0,35,1,0,0,1,0,0,0,1,0,1,1,0,62.15,2215.45,3,61.540277777777774,0.17093865628396127,0,Low Risk
0,0,1,1,48,1,0,2,0,0,0,0,0,0,2,0,0,20.65,1057.0,1,21.571428571428573,0.01158896818428624,0,Low Risk
0,0,1,1,46,1,0,2,0,0,0,0,0,0,2,1,3,19.95,927.1,1,19.72553191489362,0.025333788380108788,0,Low Risk
1,0,1,0,29,0,2,0,0,0,0,0,1,0,0,0,3,33.75,1009.25,1,33.641666666666666,0.524075944856037,0,Medium Risk
1,0,1,1,30,1,0,1,0,1,1,0,0,0,0,0,0,82.05,2570.2,3,82.90967741935484,0.3374366238664383,0,Medium Risk
1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2,74.7,74.7,2,37.35,0.8677897676972144,0,High Risk
1,0,1,1,66,1,1,0,1,0,1,1,1,1,2,1,3,84.0,5714.25,6,85.28731343283582,0.05544423734027715,0,Low Risk
0,0,0,0,65,1,1,1,1,1,1,0,1,1,0,1,1,111.05,7107.0,6,107.68181818181819,0.6444114297225949,0,High Risk
1,0,0,0,72,1,1,1,0,1,1,0,1,1,2,1,0,100.9,7459.05,5,102.17876712328767,0.20266014686686537,0,Low Risk
0,0,0,0,12,1,1,1,1,0,0,0,0,0,0,1,2,78.95,927.35,2,71.33461538461539,0.7358233331970832,1,High Risk
1,0,1,1,71,1,1,0,1,1,0,1,0,0,1,1,1,66.85,4748.7,4,65.95416666666667,0.04347477855286407,0,Low Risk
